bestsellers-rank,description,isbn10,isbn13,lang,publication-date,rating-avg,rating-count,title,author_names,category_names,format_name,tags
,"A collection of short, fiction and factual stories, of up to two thousand words. In it there are also rhymes and jokes. This is a quote from inside the book cover: 'Some are long And some are true There are ones that are short And others are blue All are thought provoking With funny ones worth a giggle or two.' The book goes to 120 interesting pages filled with factual matters some of which are historical. The book takes a different slant on life, by looking at the humourous and silly matters or events.",1999886909,9781999886905,en,2018-02-15 00:00:00,4.0,,Story Telling Six : Short Stories,MRPercyWChattey,Language: History & General Works | Funny Books & Stories | Slang & Dialect Humour,Paperback,mrpercywchattey language history general works funny books stories slang dialect humour a collection of short fiction and factual stories of up to two thousand words in it there are also rhymes and jokes this is a quote from inside the book cover some are long and some are true there are ones that are short and others are blue all are thought provoking with funny ones worth a giggle or two the book goes to 120 interesting pages filled with factual matters some of which are historical the book takes a different slant on life by looking at the humourous and silly matters or events
,"Inspired by his intense love of cars, animals and creativity, Big Book of Wacky Rides! by Fireball Tim is a mad-cap take on inanimate objects transformed into cool cars. Each illustration stands on its own as an amusing story, delighting children and parents around the world. From the Olympic ""Spoonster"" to the ""Snot Rocket"", these wild and wacky rides take kids of all ages on a journey of the imagination and unique design exploration.",1933492813,9781933492810,en,2013-11-12 00:00:00,4.5,6.0,Fireball Tim's Big Book of Wacky Rides!,TimFireball,Motor Cars | Cartoons & Comic Strips | Cartoons,Hardback,timfireball motor cars cartoons comic strips cartoons inspired by his intense love of cars animals and creativity big book of wacky rides by fireball tim is a madcap take on inanimate objects transformed into cool cars each illustration stands on its own as an amusing story delighting children and parents around the world from the olympic spoonster to the snot rocket these wild and wacky rides take kids of all ages on a journey of the imagination and unique design exploration
,"This is a blank, lined journal. It's 6x9 inches, a convenient and perfect size to carry anywhere. It's perfect for a funny gift or great laugh. Other features of this notebook include excellent and thick binding, durable 55# white paper and a glossy finished cover. If you would like an unlined journal, please take a look at our other products.",154127573X,9781541275737,en,2016-12-23 00:00:00,4.0,,Fucky McFuckerson : Blank Lined Journal,ActiveCreativeJournals,Language: History & General Works | Funny Books & Stories | Slang & Dialect Humour | Miscellaneous Items,Paperback,activecreativejournals language history general works funny books stories slang dialect humour miscellaneous items this is a blank lined journal its 6x9 inches a convenient and perfect size to carry anywhere its perfect for a funny gift or great laugh other features of this notebook include excellent and thick binding durable 55 white paper and a glossy finished cover if you would like an unlined journal please take a look at our other products
,"This book examines the question of why 'play' is a happy and benevolent verb in childhood, yet a subjective label of behaviour in adulthood. It studies the transformation of the positively labelled term 'child's play', used to refer to our early years, into an aberrance or deviation from normal social relationships in later life, when we speak of playing up or playing around. It answers the question by proposing play as a theory of learning, an ideology that circumscribes behaviour, and a way of thinking. Written by scholars of early childhood through to further and higher education, the book presents research on play enacted in a way that arches beyond the specificity of age groups or predictive, normative patterns. It is international in its focus, moving beyond insular, inward and parochial educational standards and limitations in one city, province, state or nation. Finally, it demonstrates the value of play to educational policy and theories of learning.",3319798073,9783319798073,en,2019-03-27 00:00:00,4.0,2.0,Play: A Theory of Learning and Change,TaraBrabazon,Philosophy | Social Research & Statistics | Child & Developmental Psychology | Cognition & Cognitive Psychology | Teaching Resources & Education | Teaching Resources & Education | Philosophy & Theory Of Education | Philosophy & Theory Of Education | Educational Psychology | Educational Psychology | Educational Strategies & Policy | Educational Strategies & Policy | Teaching Skills & Techniques | Teaching Skills & Techniques,Paperback,tarabrabazon philosophy social research statistics child developmental psychology cognition cognitive psychology teaching resources education teaching resources education philosophy theory of education philosophy theory of education educational psychology educational psychology educational strategies policy educational strategies policy teaching skills techniques teaching skills techniques this book examines the question of why play is a happy and benevolent verb in childhood yet a subjective label of behaviour in adulthood it studies the transformation of the positively labelled term childs play used to refer to our early years into an aberrance or deviation from normal social relationships in later life when we speak of playing up or playing around it answers the question by proposing play as a theory of learning an ideology that circumscribes behaviour and a way of thinking written by scholars of early childhood through to further and higher education the book presents research on play enacted in a way that arches beyond the specificity of age groups or predictive normative patterns it is international in its focus moving beyond insular inward and parochial educational standards and limitations in one city province state or nation finally it demonstrates the value of play to educational policy and theories of learning
,"This volume comprises the Proceedings of the IFIP 7/2 Conference on Control Problems for Systems Described by Partial Differential Equations and Applications held at the University of Florida, Gainesville, Florida in February 1987. The papers presented in this volume encompass several main directions of current research in the area including optimal control for variational inequalities, free boundary value problems, shape optimization, pareto-control, stabilization and controllability of hyperbolic equations, control problems for large space flexible structures, identification and estimation of distributed parameter systems, and numerical methods for control problems.",3540180540,9783540180548,en,1987-07-31 00:00:00,4.0,,"Control Problems for Systems Described by Partial Differential Equations and Applications : Proceedings of the IFIP-WG 7.2 Working Conference, Gainesville, Florida, February 3-6, 1986",RobertoTriggiani IrenaLasiecka,Cybernetics & Systems Theory | Calculus | Calculus Of Variations | Linear Programming | Applied Mathematics | Automatic Control Engineering | Robotics,Paperback,robertotriggiani irenalasiecka cybernetics systems theory calculus calculus of variations linear programming applied mathematics automatic control engineering robotics this volume comprises the proceedings of the ifip 72 conference on control problems for systems described by partial differential equations and applications held at the university of florida gainesville florida in february 1987 the papers presented in this volume encompass several main directions of current research in the area including optimal control for variational inequalities free boundary value problems shape optimization paretocontrol stabilization and controllability of hyperbolic equations control problems for large space flexible structures identification and estimation of distributed parameter systems and numerical methods for control problems
78866.0,A provocative collection of exercises and insights encourages individuals to stop resisting and open up about the taboo ideas they hide--from sex and money to emotions and spirituality. Original.,1591795605,9781591795605,en,2007-04-26 00:00:00,3.43,241.0,"Instant Enlightenment : Fast, Deep, and Sexy",DavidDeida,"Spirituality & Religious Experience | Personal Development | Assertiveness, Motivation & Self-esteem | Mind, Body & Spirit | Mind, Body, Spirit: Thought & Practice",Paperback,daviddeida spirituality religious experience personal development assertiveness motivation selfesteem mind body spirit mind body spirit thought practice a provocative collection of exercises and insights encourages individuals to stop resisting and open up about the taboo ideas they hidefrom sex and money to emotions and spirituality original
3208888.0,"Defined as, ""The science about the development of an embryo from the fertilization of the ovum to the fetus stage,"" embryology has been a mainstay at universities throughout the world for many years. Throughout the last century, embryology became overshadowed by experimental-based genetics and cell biology, transforming the field into developmental biology, which replaced embryology in Biology departments in many universities. Major contributions in this young century in the fields of molecular biology, biochemistry and genomics were integrated with both embryology and developmental biology to provide an understanding of the molecular portrait of a ""development cell."" That new integrated approach is known as stem-cell biology; it is an understanding of the embryology and development together at the molecular level using engineering, imaging and cell culture principles, and it is at the heart of this seminal book.",1607618591,9781607618591,en,2010-11-30 00:00:00,1.0,1.0,Stem Cells & Regenerative Medicine : From Molecular Embryology to Tissue Engineering,RaghuK.Appasani KrishnaraoAppasani,Pharmacology | Biophysics | Developmental Biology | Cellular Biology (cytology) | Zoology & Animal Sciences | Animal Reproduction | Biotechnology,Hardback,raghukappasani krishnaraoappasani pharmacology biophysics developmental biology cellular biology cytology zoology animal sciences animal reproduction biotechnology defined as the science about the development of an embryo from the fertilization of the ovum to the fetus stage embryology has been a mainstay at universities throughout the world for many years throughout the last century embryology became overshadowed by experimentalbased genetics and cell biology transforming the field into developmental biology which replaced embryology in biology departments in many universities major contributions in this young century in the fields of molecular biology biochemistry and genomics were integrated with both embryology and developmental biology to provide an understanding of the molecular portrait of a development cell that new integrated approach is known as stemcell biology it is an understanding of the embryology and development together at the molecular level using engineering imaging and cell culture principles and it is at the heart of this seminal book
842692.0,"In this epic, original novel in which Hawaii's fierce, sweeping past springs to life, Kiana Davenport, author of the acclaimed Shark Dialogues,  draws upon the remarkable stories of her people to create a timeless, passionate tale of love and survival, tragedy and triumph, survival and transcendence. In spellbinding, sensual prose, Song of the Exile follows the fortunes of the Meahuna family--and the odyssey of one resilient man searching for his soul mate after she is torn from his side by the forces of war. From the turbulent years of World War II through Hawaii's complex journey to statehood, this mesmerizing story presents a cast of richly imagined characters who rise up magnificent and forceful, redeemed by the spiritual power and the awesome beauty of their islands.",345434943,9780345434944,en,2000-07-05 00:00:00,4.07,1264.0,Song of the Exile,KianaDavenport,Contemporary Fiction | Military Fiction | Adult & Contemporary Romance | Adult & Contemporary Romance | Sagas | Historical Fiction,Paperback,kianadavenport contemporary fiction military fiction adult contemporary romance adult contemporary romance sagas historical fiction in this epic original novel in which hawaiis fierce sweeping past springs to life kiana davenport author of the acclaimed shark dialogues draws upon the remarkable stories of her people to create a timeless passionate tale of love and survival tragedy and triumph survival and transcendence in spellbinding sensual prose song of the exile follows the fortunes of the meahuna familyand the odyssey of one resilient man searching for his soul mate after she is torn from his side by the forces of war from the turbulent years of world war ii through hawaiis complex journey to statehood this mesmerizing story presents a cast of richly imagined characters who rise up magnificent and forceful redeemed by the spiritual power and the awesome beauty of their islands
97588.0,"This book is regarded as the perfect introduction to casting common hot metals in moulds, providing all the information needed by amateur foundrymen. Since 1954, when Foundrywork for the Amateur was first published, the advance of technology and engineering has been enormous and there have been many revisions along the way. However, conditions in the 21st century are so far removed from the state of affairs in the 1950s that, although the basic principle of the foundry remains the same, the language and the presentation of the book was due to be uplifted. This present edition therefore represents a complete rewrite to conform to the era and, in particular, to the availability of material which at one time was taken for granted. Not only has the text been updated, but the illustrations have been completely redrawn and, on the basis of the advances made in the amateur foundry since the early days, the photographs have also been renewed and increased in number. This new edition also reflects the author's growing interest in the model steam locomotive.",1854861689,9781854861689,en,1998-12-31 00:00:00,3.57,7.0,Foundrywork for the Amateur,B.TerryAspin,Industrial Chemistry & Manufacturing Technologies | Crafts & Hobbies | Painting & Art Manuals | Decorative Wood & Metalwork,Paperback,bterryaspin industrial chemistry manufacturing technologies crafts hobbies painting art manuals decorative wood metalwork this book is regarded as the perfect introduction to casting common hot metals in moulds providing all the information needed by amateur foundrymen since 1954 when foundrywork for the amateur was first published the advance of technology and engineering has been enormous and there have been many revisions along the way however conditions in the 21st century are so far removed from the state of affairs in the 1950s that although the basic principle of the foundry remains the same the language and the presentation of the book was due to be uplifted this present edition therefore represents a complete rewrite to conform to the era and in particular to the availability of material which at one time was taken for granted not only has the text been updated but the illustrations have been completely redrawn and on the basis of the advances made in the amateur foundry since the early days the photographs have also been renewed and increased in number this new edition also reflects the authors growing interest in the model steam locomotive
829143.0,"Major Louis Joseph Vionnet's memoirs of Napoleon's disastrous 1812 campaign in Russia are readable, detailed, and full of personal anecdote and vivid glimpses into the life of the nineteenth-century soldier. His account concentrates in particular on the retreat from Moscow, but he was present at all the major actions and followed the entire course of the campaign from the opening moves in July 1812 to being chased through Prussia by bands of Cossacks in early 1813. He was present at the destruction of Smolensk, toured the battlefield of Borodino and witnessed the great fire in Moscow. Vionnet was a major in the Fusiliers-Grenadiers, a regiment of veterans in the Imperial Guard, and his account provides a wonderful insight into the elan, morale and cohesion of this elite fighting force. Jonathan North has translated Vionnet's memoirs for the first time for this English edition. In addition to providing detailed explanatory notes, he quotes from the accounts left by five other soldiers from the same regiment, and these extracts allow the reader to follow the ups and downs of the unit as a whole.",1848846355,9781848846357,en,2013-04-01 00:00:00,3.55,11.0,With Napoleon's Guard in Russia,JonathanNorth LouisJosephVionnet,Memoirs | Modern History To 20th Century: C 1700 To C 1900 | Military History | Napoleonic Wars | Battles & Campaigns,Hardback,jonathannorth louisjosephvionnet memoirs modern history to 20th century c 1700 to c 1900 military history napoleonic wars battles campaigns major louis joseph vionnets memoirs of napoleons disastrous 1812 campaign in russia are readable detailed and full of personal anecdote and vivid glimpses into the life of the nineteenthcentury soldier his account concentrates in particular on the retreat from moscow but he was present at all the major actions and followed the entire course of the campaign from the opening moves in july 1812 to being chased through prussia by bands of cossacks in early 1813 he was present at the destruction of smolensk toured the battlefield of borodino and witnessed the great fire in moscow vionnet was a major in the fusiliersgrenadiers a regiment of veterans in the imperial guard and his account provides a wonderful insight into the elan morale and cohesion of this elite fighting force jonathan north has translated vionnets memoirs for the first time for this english edition in addition to providing detailed explanatory notes he quotes from the accounts left by five other soldiers from the same regiment and these extracts allow the reader to follow the ups and downs of the unit as a whole
466265.0,"Covering both classical modalities of echocardiography and newer techniques, Clinical Echocardiography of the Dog and Cat shows how to assess, diagnose, and treat canine and feline heart disease. A clinical approach demonstrates how these modalities may be used to acquire images, and then how you can recognize and identify patterns, relate them to different diseases, and manage patient care with those findings. The print book includes a companion website with 50 videos of cardiac ultrasound exams and procedures. Written by veterinary cardiology specialists and echocardiographers Eric de Madron, Valerie Chetboul, and Claudio Bussadori, this indispensable echocardiology resource is ideal for general practitioner veterinarians as well as specialists, including cardiologists and radiologists.",323316506,9780323316507,en,2015-07-31 00:00:00,3.0,1.0,Clinical Echocardiography of the Dog and Cat,EricDeMadron ClaudioBussadori ValerieChetboul,Veterinary Medicine: Small Animals (pets) | Dogs As Pets,Hardback,ericdemadron claudiobussadori valeriechetboul veterinary medicine small animals pets dogs as pets covering both classical modalities of echocardiography and newer techniques clinical echocardiography of the dog and cat shows how to assess diagnose and treat canine and feline heart disease a clinical approach demonstrates how these modalities may be used to acquire images and then how you can recognize and identify patterns relate them to different diseases and manage patient care with those findings the print book includes a companion website with 50 videos of cardiac ultrasound exams and procedures written by veterinary cardiology specialists and echocardiographers eric de madron valerie chetboul and claudio bussadori this indispensable echocardiology resource is ideal for general practitioner veterinarians as well as specialists including cardiologists and radiologists
,"Students who want to link career interests to the proper college choice can stop searching through a bewildering maze of career and college guides. Each title in this four-volume set puts it all together in one handy reference work -- career guidance, profiles of working professionals, and hundreds of college program listings. Plus, college selection software.",1560795263,9781560795261,en,1996-05-01 00:00:00,4.0,,Peterson's Guide to Colleges for Careers in Business : The Only Combined Career and College Guide for Future Business Professionals,Peterson'sGuides,Careers Guidance | Careers Guidance | Business & Management | Advice On Careers & Achieving Success | Advice On Education,Paperback,petersonsguides careers guidance careers guidance business management advice on careers achieving success advice on education students who want to link career interests to the proper college choice can stop searching through a bewildering maze of career and college guides each title in this fourvolume set puts it all together in one handy reference work career guidance profiles of working professionals and hundreds of college program listings plus college selection software
1221297.0,"Featuring more than 50 colour images, The Inner Rainbow takes the reader on an journey through time, from Ancient India to the present day. This is the journey of human consciousness  -  the story of an eternal, metamorphic process. As the author suggests, consciousness is not a self-contained, unchangeable faculty. The way we perceive the surrounding world today  -  with the potential for sophisticated and exact observation of natural phenomena  -  has evolved over thousands of years. What was once a blurred and fragmentary perception in the time of Ancient India has evolved to a clear awareness of everyday reality.  Using pictures as his starting point, Henk van Oort outlines a remarkable narrative, beginning with the age-old myth of Noah's Ark, in which a rainbow is presented to the survivors of the Biblical flood. This rainbow in nature, with its seven colours, is mirrored in the ancient teaching of the seven human chakras, also with seven colours. Through a gradual process of change over centuries, this outer rainbow has been internalised into an inner rainbow, shaping a bridge between body, soul and spirit.",1906999600,9781906999605,en,2014-03-10 00:00:00,4.0,,The Inner Rainbow : An Illustrated History of Human Consciousness from Ancient India to the Present Day,HenkVanOort,"Western Philosophy: Medieval & Renaissance, C 500 To C 1600 | Philosophy Of Mind | Theosophy & Anthroposophy | Mysticism, Magic & Ritual",Paperback,henkvanoort western philosophy medieval renaissance c 500 to c 1600 philosophy of mind theosophy anthroposophy mysticism magic ritual featuring more than 50 colour images the inner rainbow takes the reader on an journey through time from ancient india to the present day this is the journey of human consciousness the story of an eternal metamorphic process as the author suggests consciousness is not a selfcontained unchangeable faculty the way we perceive the surrounding world today with the potential for sophisticated and exact observation of natural phenomena has evolved over thousands of years what was once a blurred and fragmentary perception in the time of ancient india has evolved to a clear awareness of everyday reality using pictures as his starting point henk van oort outlines a remarkable narrative beginning with the ageold myth of noahs ark in which a rainbow is presented to the survivors of the biblical flood this rainbow in nature with its seven colours is mirrored in the ancient teaching of the seven human chakras also with seven colours through a gradual process of change over centuries this outer rainbow has been internalised into an inner rainbow shaping a bridge between body soul and spirit
19960.0,"Healing with Love presents a highly regarded physician's practical, step-by-step program that shows how to turn on the power of our whole beings a hands, heart, and higher consciousness a to heal ourselves and others. Here are the extraordinary and learnable techniques that have transformed lives around the world. ""Love is truth and beyond sentiment. It is the ultimate healer. Healing with Love offers practical insight into the mechanics of restoration of wholeness. I highly recommended it."" Deepak Chopra, M.D. author of Unconditional Love, Quantum Healing, and Perfect Health. ""A new medicine is in the making, a form of healing that emphasises the power of human consciousness. Because legitimate science stands behind this development, it will not go away but demands our full attention. Dr. Laskow last is a areal doctor' who is one of the architects of this mind-based medicine. In this book he describes the healing power of love, unity, and wholeness. An important contribution!"" - Larry Dossey, M.D., author of Meaning and Medicine",1946697338,9781946697332,en,2019-03-27 00:00:00,4.0,,Healing with Love : The Art and Science of Healing Yourself and Others Through Love and Grace,LeonardLaskow,"Spirituality & Religious Experience | Medicine | Complementary Medicine | Popular Psychology | Mind, Body, Spirit: Thought & Practice",Paperback,leonardlaskow spirituality religious experience medicine complementary medicine popular psychology mind body spirit thought practice healing with love presents a highly regarded physicians practical stepbystep program that shows how to turn on the power of our whole beings a hands heart and higher consciousness a to heal ourselves and others here are the extraordinary and learnable techniques that have transformed lives around the world love is truth and beyond sentiment it is the ultimate healer healing with love offers practical insight into the mechanics of restoration of wholeness i highly recommended it deepak chopra md author of unconditional love quantum healing and perfect health a new medicine is in the making a form of healing that emphasises the power of human consciousness because legitimate science stands behind this development it will not go away but demands our full attention dr laskow last is a areal doctor who is one of the architects of this mindbased medicine in this book he describes the healing power of love unity and wholeness an important contribution larry dossey md author of meaning and medicine
